"Year","Area","Street","Street.2"
2011,"Birmingham","Acocks Green",""
2011,"Birmingham","Adderly Street",""
2011,"Birmingham","Alcester Raod Mosley",""
2011,"Birmingham","Alcester Road",""
2011,"Birmingham","Alcester Road Moseley",""
2011,"Birmingham","Alcester Road Moseley",""
2011,"Birmingham","Alfred Street",""
2011,"Birmingham","All Service Club Mosley",""
2011,"Birmingham","Alum Rock Road",""
2011,"Birmingham","Alum Rock Road",""
2011,"Birmingham","Alum Rock Road",""
2011,"Birmingham","Alum Rock Road",""
2011,"Birmingham","Arcadian Centre",""
2011,"Birmingham","Arden Road Saltley",""
2011,"Birmingham","Asda Chemsley Wood",""
2011,"Birmingham","Balsahll Heath Park J W Brighton Road",""
2011,"Birmingham","Bamford Road",""
2011,"Birmingham","Bamford Road",""
2011,"Birmingham","BeechBrook Avenue Sparkhill",""
2011,"Birmingham","Belchers Lane",""
2011,"Birmingham","Belchers Lane",""
2011,"Birmingham","Belchers Lane",""
2011,"Birmingham","Belchers Lane Bordesley Green",""
2011,"Birmingham","Bell Street",""
2011,"Birmingham","Berkley Rd East Haymills",""
2011,"Birmingham","Birmingham Airport",""
2011,"Birmingham","Birmingham International Railway Station",""
2011,"Birmingham","Bordesley Green",""
2011,"Birmingham","Bordesley Green Bordesley Green",""
2011,"Birmingham","Bristol Road",""
2011,"Birmingham","Bristol Street",""
2011,"Birmingham","Broad Street",""
2011,"Birmingham","Broad Street",""
2011,"Birmingham","Broad Street Birmingham",""
2011,"Birmingham","Buckland End Lane Shard End",""
2011,"Birmingham","Bulls Head PH St Marys Row",""
2011,"Birmingham","Bushbury Road Kitts Green",""
2011,"Birmingham","Chartice Road",""
2011,"Birmingham","Chestnut Road",""
2011,"Birmingham","Church Rd Stechford",""
2011,"Birmingham","Church Road Sheldon",""
2011,"Birmingham","Clifford RD Dorridge",""
2011,"Birmingham","Clock Lane",""
2011,"Birmingham","Colonial Road Bordesley Green",""
2011,"Birmingham","Corporation St Birmingham",""
2011,"Birmingham","Corporation Street",""
2011,"Birmingham","Coventry Rd Small Heath",""
2011,"Birmingham","COVENTRY RD SMALL HEATH BHAM",""
2011,"Birmingham","Coventry Road",""
2011,"Birmingham","Coventry Road",""
2011,"Birmingham","Coventry Road",""
2011,"Birmingham","Coventry Road",""
2011,"Birmingham","Coventry Road",""
2011,"Birmingham","Coventry Road Small Heath",""
2011,"Birmingham","Coventry Road Small Heath",""
2011,"Birmingham","Coventry Road Small Heath",""
2011,"Birmingham","Cranes Park Road",""
2011,"Birmingham","Cranes Park Road Sheldon",""
2011,"Birmingham","Crossfield Road",""
2011,"Birmingham","Crossfields Road Kitts Green",""
2011,"Birmingham","Cxhurch Rd Stechford Bham",""
2011,"Birmingham","Digbeth High Street",""
2011,"Birmingham","Edgbaston Road",""
2011,"Birmingham","Edward Road Moseley",""
2011,"Birmingham","Fighting Cox PH",""
2011,"Birmingham","Foremans Road Sparkhill",""
2011,"Birmingham","Front Office Kings Heath",""
2011,"Birmingham","Garretts Green Road Garretts Green",""
2011,"Birmingham","Giles Close",""
2011,"Birmingham","GILES CLOSE STECHFORD",""
2011,"Birmingham","Glazedale Road",""
2011,"Birmingham","Gospel Farm Road",""
2011,"Birmingham","Gospel Farm Road",""
2011,"Birmingham","Gospel Lane",""
2011,"Birmingham","Gospel Lane",""
2011,"Birmingham","Gospel Lane",""
2011,"Birmingham","Gospel Lane Acocks Green",""
2011,"Birmingham","Grace Church Sutton Coldfield",""
2011,"Birmingham","Great Hampton Street",""
2011,"Birmingham","Green Lane",""
2011,"Birmingham","Greswell Lane Shard End",""
2011,"Birmingham","Harlequin Drive Mosley",""
2011,"Birmingham","Haslucks Green Road",""
2011,"Birmingham","Hazeldean Road",""
2011,"Birmingham","Heartlands Hospital",""
2011,"Birmingham","Heartlands Hospital",""
2011,"Birmingham","Heartlands Hospital A E",""
2011,"Birmingham","Heartlands Hospital A E",""
2011,"Birmingham","Heartlands Hospital A E",""
2011,"Birmingham","Hepben Grove",""
2011,"Birmingham","Herrick Road",""
2011,"Birmingham","Herrick Road Washwood Heath",""
2011,"Birmingham","Herrick Road Washwood Heath",""
2011,"Birmingham","High St Solihull",""
2011,"Birmingham","HIGH STREET KINGS HEATH",""
2011,"Birmingham","High Street Kings Heath",""
2011,"Birmingham","High Street Kings Heath",""
2011,"Birmingham","Hob Moor Road At Starbank Road",""
2011,"Birmingham","Holloway Head Bham City Centre",""
2011,"Birmingham","Hollywell Road",""
2011,"Birmingham","Home Address",""
2011,"Birmingham","Home Address",""
2011,"Birmingham","Homer Street",""
2011,"Birmingham","Hunters Moon Public House",""
2011,"Birmingham","Hurst Street",""
2011,"Birmingham","Hurst Street",""
2011,"Birmingham","Hurst Street",""
2011,"Birmingham","Hurst Street Birmingham",""
2011,"Birmingham","Kings Heath High Street",""
2011,"Birmingham","KNOWLE RD SMALL HEATH BHAM",""
2011,"Birmingham","Ladypool Road",""
2011,"Birmingham","Ladypool Road",""
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Lea Hall RD",""
2011,"Birmingham","Lea Hall Rd",""
2011,"Birmingham","Lea Village Stechford",""
2011,"Birmingham","Lenches Close Mosley",""
2011,"Birmingham","Lime Tree Road",""
2011,"Birmingham","Lode Lane Hermitage Road",""
2011,"Birmingham","Long Street",""
2011,"Birmingham","Long Street Sparkhill",""
2011,"Birmingham","Longbridge Lane",""
2011,"Birmingham","LONGMEADOW CRESCENT SHARD END BHAM",""
2011,"Birmingham","Maccadown Lane",""
2011,"Birmingham","Masshouse Lane",""
2011,"Birmingham","Meadwaym Stechford",""
2011,"Birmingham","Mickleover Road Bromford",""
2011,"Birmingham","Moorcroft Road",""
2011,"Birmingham","Moseley Road",""
2011,"Birmingham","Moseley Road",""
2011,"Birmingham","Moseley Road",""
2011,"Birmingham","Moseley Road",""
2011,"Birmingham","Moseley Village",""
2011,"Birmingham","Moseley Village",""
2011,"Birmingham","Moseley Village Alcester Road",""
2011,"Birmingham","Mosley All Services Club Church Road Moseley",""
2011,"Birmingham","Nearlands Close Quinton",""
2011,"Birmingham","New Street",""
2011,"Birmingham","Northfield High Street",""
2011,"Birmingham","O S BEHANS HIGHFIELD ROAD BILLESLEY",""
2011,"Birmingham","O S The Junction Mosley Village",""
2011,"Birmingham","O S Washwood Heath Road",""
2011,"Birmingham","Oakhill Road Acocks Green",""
2011,"Birmingham","Opp White Hart Lane Cooks Lane",""
2011,"Birmingham","Opposite ALDI Stratford Road",""
2011,"Birmingham","Outside Java Lounge Alcester Road",""
2011,"Birmingham","Outside O Academy Night Club B Ham City Centre",""
2011,"Birmingham","Outside Raven Public House",""
2011,"Birmingham","Packington Avenue Shard End",""
2011,"Birmingham","Park Off Hob Moor Road",""
2011,"Birmingham","Parkhall Croft",""
2011,"Birmingham","Pear Tree PH",""
2011,"Birmingham","Police Station",""
2011,"Birmingham","Police Station Stechford",""
2011,"Birmingham","Poplar Road",""
2011,"Birmingham","Poplar Road",""
2011,"Birmingham","Poplar Road Solihull",""
2011,"Birmingham","Poplar Road Solihull",""
2011,"Birmingham","Preston Road",""
2011,"Birmingham","Priory Road Hall Green",""
2011,"Birmingham","Prospect Road",""
2011,"Birmingham","Queenswood Road",""
2011,"Birmingham","Rear Of Boots High Street",""
2011,"Birmingham","REDDINGS LANE TSYLEY",""
2011,"Birmingham","Richmond Primary Care Centre Richmond Road Stechford",""
2011,"Birmingham","Ring Road Stourbridge",""
2011,"Birmingham","Sainsburys Wawrick Road",""
2011,"Birmingham","Sainsburys Alcester Road South",""
2011,"Birmingham","Sandford Road Moseley",""
2011,"Birmingham","Sarehole Mill",""
2011,"Birmingham","Sedgemere Road",""
2011,"Birmingham","Shirley Road",""
2011,"Birmingham","SHirley Road",""
2011,"Birmingham","Snow Hill",""
2011,"Birmingham","Solihull Lane",""
2011,"Birmingham","St Mary S Road Moseley",""
2011,"Birmingham","St Marys Row",""
2011,"Birmingham","Station Road",""
2011,"Birmingham","Station Way Birmingham International Rail Station",""
2011,"Birmingham","Stechford Front Office",""
2011,"Birmingham","Stechford P S",""
2011,"Birmingham","Stechford Retail Park",""
2011,"Birmingham","Stonehenge Croft Druids Heath",""
2011,"Birmingham","Stoney Lane",""
2011,"Birmingham","Stoney Lane",""
2011,"Birmingham","Stoney Lane",""
2011,"Birmingham","STRATFORD HEATH SPARK HILL BIRMINGHAM",""
2011,"Birmingham","Stratford Road",""
2011,"Birmingham","Stratford Road",""
2011,"Birmingham","Stratford Road",""
2011,"Birmingham","Stratford Road Hall Green",""
2011,"Birmingham","Stratford Roads",""
2011,"Birmingham","Stuart Road Stechford",""
2011,"Birmingham","Talbort Street",""
2011,"Birmingham","Taunton Road",""
2011,"Birmingham","Tavistock Road",""
2011,"Birmingham","The Avenue",""
2011,"Birmingham","The Paer Tree Pub",""
2011,"Birmingham","Trafalger Road",""
2011,"Birmingham","Wake Green Road",""
